Day,Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate)
2026-06-07,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,6.22,355,0,0,17.52,12,0.52,3.38
2026-06-07,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,53.7,3711,0,0,14.47,65,0.83,1.75
2026-06-07,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,0.03,1,0,0,30.0,0,0,0.0
2026-06-07,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,0.06,2,0,0,30.0,0,0,0.0
2026-06-08,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,43.66,5537,0,0,7.89,371,0.12,6.7
2026-06-08,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Medo do Escuro,11.05,718,0,0,15.39,15,0.74,2.09
2026-06-08,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 01,3.15,13,0,0,242.31,0,0,0.0
2026-06-08,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,97.02,5268,0,0,18.42,53,1.83,1.01
2026-06-08,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,11.77,519,0,0,22.68,9,1.31,1.73
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,94.7,6909,0,0,13.71,44,2.15,0.64
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,8.53,551,0,0,15.48,12,0.71,2.18
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,6.07,439,0,0,13.83,1,6.07,0.23
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,29.01,2107,0,0,13.77,8,3.63,0.38
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,20.55,1279,0,0,16.07,10,2.06,0.78
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02,0.49,17,0,0,28.82,1,0.49,5.88
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02 — Cópia,22.72,1363,0,0,16.67,3,7.57,0.22
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03,5.77,245,0,0,23.55,3,1.92,1.22
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,1.59,105,0,0,15.14,0,0,0.0
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,3.96,171,0,0,23.16,2,1.98,1.17
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 04,0.17,8,0,0,21.25,0,0,0.0
2026-06-08,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 04 — Cópia,13.14,958,0,0,13.72,5,2.63,0.52
2026-06-08,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,60.94,2048,0,0,29.76,18,3.39,0.88
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,46.19,3323,0,0,13.9,56,0.82,1.69
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,4.63,201,0,0,23.03,1,4.63,0.5
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,0.11,5,0,0,22.0,0,0,0.0
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,0.55,32,0,0,17.19,0,0,0.0
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,1.28,59,0,0,21.69,2,0.64,3.39
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,0.23,6,0,0,38.33,0,0,0.0
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,4.5,180,0,0,25.0,1,4.5,0.56
2026-06-08,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,0.84,31,0,0,27.1,0,0,0.0
2026-06-09,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,42.03,7502,0,0,5.6,602,0.07,8.02
2026-06-09,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 01,7.34,331,0,0,22.18,1,7.34,0.3
2026-06-09,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,83.36,4632,0,0,18.0,39,2.14,0.84
2026-06-09,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,78.66,5955,0,0,13.21,45,1.75,0.76
2026-06-09,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,38.78,3018,0,0,12.85,16,2.42,0.53
